8, 60
50, 79
60, 8
79, 50
112, 151
151, 112
248, 302
257, 281
281, 257
302, 248
312, 345
312, 347
345, 312
345, 347
347, 312
347, 345
351, 378
367, 382
378, 351
380, 395
382, 367
395, 380
412, 465
418, 467
465, 412
467, 418
517, 546
533, 540
540, 533
546, 517
624, 656
633, 689
656, 624
689, 633
714, 767
716, 732
716, 783
720, 761
728, 738
732, 716
738, 728
747, 763
761, 720
763, 747
767, 714
772, 774
774, 772
776, 785
783, 716
785, 776
811, 872
815, 906
823, 826
826, 823
829, 842
842, 829
843, 849
849, 843
872, 811
906, 815
933, 993
987, 1008
993, 933
1008, 987
1021, 1085
1057, 1086
1085, 1021
1086, 1057
1118, 1134
1122, 1205
1134, 1118
1205, 1122
1213, 1290
1215, 1246
1220, 1262
1230, 1311
1246, 1215
1253, 1265
1262, 1220
1265, 1253
1290, 1213
1311, 1230
1331, 1411
1337, 1396
1339, 1348
1348, 1339
1360, 1369
1369, 1360
1396, 1337
1411, 1331
1418, 1473
1419, 1486
1420, 1483
1422, 1461
1433, 1482
1436, 1447
1436, 1456
1438, 1444
1444, 1438
1447, 1436
1456, 1436
1461, 1422
1473, 1418
1482, 1433
1483, 1420
1486, 1419
1546, 1549
1549, 1546
1559, 1576
1576, 1559
1624, 1689
1678, 1683
1683, 1678
1689, 1624
1723, 1808
1724, 1767
1729, 1760
1730, 1792
1760, 1729
1767, 1724
1792, 1730
1808, 1723
1823, 1832
1831, 1890
1832, 1823
1864, 1916
1872, 1874
1874, 1872
1890, 1831
1916, 1864
1932, 1998
1949, 2012
1958, 1986
1966, 1996
1986, 1958
1996, 1966
1997, 2016
1998, 1932
2012, 1949
2016, 1997
2022, 2109
2039, 2097
2097, 2039
2109, 2022
2126, 2200
2181, 2213
2200, 2126
2213, 2181
2242, 2322
2275, 2281
2281, 2275
2322, 2242
2377, 2413
2391, 2419
2395, 2402
2402, 2395
2413, 2377
2419, 2391
2455, 2459
2459, 2455
2543, 2567
2557, 2591
2559, 2577
2567, 2543
2574, 2597
2577, 2559
2591, 2557
2597, 2574
2632, 2714
2633, 2637
2637, 2633
2637, 2648
2648, 2637
2658, 2692
2659, 2676
2676, 2659
2692, 2658
2714, 2632
2756, 2804
2804, 2756
2812, 2826
2826, 2812
2829, 2900
2857, 2898
2898, 2857
2900, 2829
2907, 2925
2925, 2907
2936, 2976
2940, 2962
2943, 2974
2959, 3022
2962, 2940
2974, 2943
2976, 2936
3022, 2959
3033, 3061
3061, 3033
3142, 3162
3145, 3210
3162, 3142
3191, 3209
3209, 3191
3210, 3145
3240, 3293
3288, 3329
3291, 3332
3293, 3240
3329, 3288
3332, 3291
3343, 3391
3345, 3411
3360, 3368
3368, 3360
3374, 3393
3381, 3428
3391, 3343
3393, 3374
3411, 3345
3428, 3381
3541, 3616
3547, 3578
3547, 3631
3556, 3581
3560, 3586
3578, 3547
3578, 3631
3581, 3556
3586, 3560
3616, 3541
3631, 3547
3631, 3578
3640, 3689
3643, 3666
3666, 3643
3673, 3694
3689, 3640
3694, 3673
3751, 3758
3758, 3751
3783, 3809
3786, 3800
3800, 3786
3809, 3783
3845, 3905
3852, 3897
3897, 3852
3905, 3845
3942, 3987
3987, 3942
4010, 4031
4031, 4010
4050, 4093
4078, 4090
4090, 4078
4093, 4050
4097, 4100
4100, 4097
4142, 4146
4146, 4142
4155, 4190
4190, 4155
4193, 4195
4195, 4193
4249, 4297
4265, 4289
4266, 4294
4269, 4309
4289, 4265
4294, 4266
4297, 4249
4309, 4269
4354, 4420
4393, 4444
4420, 4354
4444, 4393
4449, 4493
4487, 4517
4493, 4449
4494, 4500
4500, 4494
4517, 4487
4531, 4534
4534, 4531
4546, 4598
4556, 4624
4568, 4645
4598, 4546
4604, 4614
4614, 4604
4624, 4556
4645, 4568
4652, 4731
4653, 4745
4731, 4652
4745, 4653
4755, 4824
4756, 4806
4758, 4799
4762, 4844
4799, 4758
4806, 4756
4824, 4755
4828, 4838
4838, 4828
4844, 4762
4860, 4946
4861, 4902
4900, 4916
4902, 4861
4916, 4900
4928, 4944
4944, 4928
4946, 4860
4956, 5014
4973, 5035
4992, 5020
4994, 5013
5011, 5050
5013, 4994
5014, 4956
5020, 4992
5035, 4973
5050, 5011
5090, 5121
5121, 5090
5160, 5215
5163, 5198
5171, 5209
5198, 5163
5209, 5171
5215, 5160
5253, 5344
5261, 5279
5261, 5309
5264, 5346
5279, 5261
5279, 5309
5309, 5261
5309, 5279
5344, 5253
5346, 5264
5356, 5421
5375, 5413
5386, 5400
5389, 5451
5400, 5386
5407, 5418
5413, 5375
5415, 5454
5418, 5407
5421, 5356
5437, 5449
5449, 5437
5451, 5389
5454, 5415
5463, 5533
5474, 5508
5482, 5500
5500, 5482
5508, 5474
5533, 5463
5567, 5653
5568, 5576
5568, 5616
5569, 5619
5576, 5568
5576, 5616
5596, 5611
5602, 5647
5611, 5596
5616, 5568
5616, 5576
5619, 5569
5647, 5602
5653, 5567
5667, 5720
5674, 5752
5694, 5750
5697, 5735
5711, 5727
5720, 5667
5727, 5711
5735, 5697
5750, 5694
5752, 5674
5794, 5805
5796, 5809
5802, 5832
5805, 5794
5809, 5796
5832, 5802
5866, 5913
5874, 5907
5877, 5955
5889, 5926
5907, 5874
5913, 5866
5926, 5889
5955, 5877
5970, 5972
5970, 6012
5972, 5970
6012, 5970
6042, 6053
6053, 6042
6063, 6065
6065, 6063
6068, 6099
6069, 6087
6075, 6094
6079, 6091
6087, 6069
6091, 6079
6094, 6075
6099, 6068
6119, 6124
6124, 6119
6177, 6207
6188, 6197
6197, 6188
6207, 6177
6210, 6226
6223, 6254
6226, 6210
6254, 6223
6275, 6334
6297, 6312
6300, 6316
6312, 6297
6316, 6300
6334, 6275
6346, 6349
6349, 6346
6386, 6446
6432, 6439
6439, 6432
6446, 6386
6499, 6561
6561, 6499
6577, 6621
6592, 6638
6596, 6625
6621, 6577
6625, 6596
6627, 6632
6632, 6627
6637, 6640
6638, 6592
6640, 6637
6675, 6739
6679, 6716
6704, 6765
6707, 6749
6707, 6764
6716, 6679
6725, 6759
6739, 6675
6749, 6707
6749, 6764
6759, 6725
6764, 6707
6764, 6749
6765, 6704
6781, 6868
6787, 6808
6808, 6787
6821, 6843
6822, 6859
6843, 6821
6859, 6822
6868, 6781
6915, 6928
6924, 6955
6927, 6960
6928, 6915
6955, 6924
6960, 6927
6970, 6991
6991, 6970
6996, 7011
6996, 7041
6996, 7052
7003, 7004
7004, 7003
7007, 7049
7011, 6996
7011, 7041
7022, 7033
7025, 7028
7028, 7025
7033, 7022
7040, 7045
7041, 6996
7041, 7011
7045, 7040
7049, 7007
7052, 6996
7103, 7133
7108, 7162
7110, 7124
7124, 7110
7133, 7103
7138, 7146
7146, 7138
7162, 7108
7195, 7232
7232, 7195
7321, 7324
7324, 7321
7377, 7465
7394, 7395
7395, 7394
7403, 7467
7414, 7448
7448, 7414
7462, 7463
7463, 7462
7465, 7377
7467, 7403
7482, 7495
7495, 7482
7496, 7573
7573, 7496
7588, 7596
7596, 7588
7603, 7648
7617, 7643
7643, 7617
7648, 7603
7648, 7649
7649, 7648
7695, 7751
7719, 7722
7722, 7719
7751, 7695
7788, 7850
7826, 7870
7850, 7788
7870, 7826
7919, 7921
7921, 7919
7990, 7991
7991, 7990
8035, 8039
8039, 8035
8092, 8118
8118, 8092
8122, 8129
8129, 8122
8164, 8167
8167, 8164
8319, 8346
8346, 8319
8347, 8365
8365, 8347
8413, 8433
8418, 8421
8421, 8418
8424, 8444
8433, 8413
8444, 8424
8446, 8459
8459, 8446
8594, 8599
8599, 8594
8605, 8628
8608, 8616
8614, 8634
8616, 8608
8616, 8632
8628, 8605
8632, 8616
8634, 8614
8695, 8783
8696, 8758
8758, 8696
8783, 8695
8788, 8833
8792, 8834
8799, 8854
8816, 8850
8829, 8832
8832, 8829
8833, 8788
8834, 8792
8850, 8816
8854, 8799
8897, 8902
8902, 8897
8997, 9048
9008, 9031
9011, 9056
9012, 9018
9016, 9039
9018, 9012
9029, 9072
9030, 9035
9031, 9008
9035, 9030
9039, 9016
9048, 8997
9056, 9011
9072, 9029
9200, 9269
9219, 9235
9235, 9219
9236, 9265
9238, 9266
9265, 9236
9266, 9238
9269, 9200
9297, 9305
9305, 9297
9325, 9326
9326, 9325
9330, 9391
9391, 9330
9400, 9491
9415, 9454
9415, 9487
9423, 9453
9453, 9423
9454, 9415
9460, 9470
9470, 9460
9487, 9415
9491, 9400
9516, 9573
9533, 9534
9534, 9533
9555, 9559
9559, 9555
9573, 9516
9599, 9651
9619, 9694
9637, 9693
9639, 9640
9640, 9639
9651, 9599
9654, 9656
9656, 9654
9672, 9687
9687, 9672
9693, 9637
9694, 9619
9707, 9758
9723, 9726
9726, 9723
9729, 9768
9736, 9795
9758, 9707
9764, 9772
9768, 9729
9772, 9764
9795, 9736
9828, 9895
9833, 9869
9845, 9876
9856, 9891
9869, 9833
9875, 9896
9876, 9845
9891, 9856
9895, 9828
9896, 9875
9910, 9939
9925, 9977
9939, 9910
9939, 9958
9958, 9939
9977, 9925
9985, 9987
9987, 9985
10010, 10016
10016, 10010
10134, 10177
10145, 10176
10161, 10182
10176, 10145
10177, 10134
10182, 10161
10210, 10261
10231, 10234
10234, 10231
10261, 10210
10265, 10273
10273, 10265
